walk_id,start_type,start_library_node,start_library_name,start_tool_node,start_tool_label,step_1,step_2,step_3,step_4,step_5
147,tool,,,TOOL:multimedia::Text Expander,multimedia::Text Expander,multimedia::Text Expander,huggingface::Translation,huggingface::Text Generation,multimedia::Text Sentiment Analysis,multimedia::Text Simplifier
148,tool,,,TOOL:huggingface::Sentence Similarity,huggingface::Sentence Similarity,huggingface::Sentence Similarity,multimedia::Text Search,multimedia::Video Search,multimedia::Video-to-Audio,multimedia::Audio-to-Text
149,tool,,,TOOL:daily::order_food_delivery,daily::order_food_delivery,daily::order_food_delivery,daily::auto_driving_to_destination,daily::order_taxi,daily::deliver_package,daily::send_email
150,tool,,,TOOL:multimedia::Text-to-Image,multimedia::Text-to-Image,multimedia::Text-to-Image,multimedia::Image Colorizer,huggingface::Object Detection,huggingface::Text-to-Image,huggingface::Image-to-Text
151,tool,,,TOOL:multimedia::Text Paraphraser,multimedia::Text Paraphraser,multimedia::Text Paraphraser,huggingface::Text Generation,multimedia::Text-to-Image,multimedia::Image-to-Text,multimedia::Text-to-Video
152,tool,,,TOOL:daily::enroll_in_course,daily::enroll_in_course,daily::enroll_in_course,daily::software_management,daily::deliver_package,daily::book_flight,daily::deliver_package
153,tool,,,TOOL:multimedia::Video Search,multimedia::Video Search,multimedia::Video Search,multimedia::Video-to-Image,huggingface::Image-to-Image,multimedia::Image Search (by Image),multimedia::Image Colorizer
154,tool,,,TOOL:huggingface::Image Segmentation,huggingface::Image Segmentation,huggingface::Image Segmentation,huggingface::Image-to-Image,multimedia::Image Search (by Image),huggingface::Object Detection,multimedia::Image Search
155,tool,,,TOOL:huggingface::Audio-to-Audio,huggingface::Audio-to-Audio,huggingface::Audio-to-Audio,huggingface::Automatic Speech Recognition,huggingface::Text-to-Video,multimedia::Video-to-Text,daily::make_video_call
156,tool,,,TOOL:multimedia::Image Search (by Image),multimedia::Image Search (by Image),multimedia::Image Search (by Image),huggingface::Object Detection,huggingface::Text-to-Video,multimedia::Video-to-Audio,multimedia::Audio Noise Reduction
157,tool,,,TOOL:daily::get_weather,daily::get_weather,daily::get_weather,daily::book_car,daily::book_hotel,daily::book_restaurant,daily::book_car
158,tool,,,TOOL:daily::software_management,daily::software_management,daily::software_management,daily::auto_housework_by_robot,daily::software_management,daily::enroll_in_course,daily::software_management
159,tool,,,TOOL:daily::online_banking,daily::online_banking,daily::online_banking,daily::stock_operation,daily::software_management,daily::stock_operation,daily::sell_item_online
160,tool,,,TOOL:daily::software_management,daily::software_management,daily::software_management,daily::stock_operation,daily::buy_insurance,daily::online_shopping,daily::pay_for_credit_card
161,tool,,,TOOL:daily::make_video_call,daily::make_video_call,daily::make_video_call,daily::send_sms,daily::send_email,daily::deliver_package,daily::software_management
162,tool,,,TOOL:daily::send_email,daily::send_email,daily::send_email,daily::deliver_package,daily::book_flight,daily::borrow_book_online,daily::book_car
163,tool,,,TOOL:daily::order_food_delivery,daily::order_food_delivery,daily::order_food_delivery,daily::deliver_package,daily::book_flight,daily::order_food_delivery,daily::auto_driving_to_destination
164,tool,,,TOOL:multimedia::Image Search,multimedia::Image Search,multimedia::Image Search,huggingface::Image-to-Text,huggingface::Conversational,multimedia::Text Expander,multimedia::Text-to-Image
165,tool,,,TOOL:multimedia::Text Downloader,multimedia::Text Downloader,multimedia::Text Downloader,multimedia::URL Extractor,multimedia::Video Downloader,multimedia::Video-to-Image,huggingface::Image-to-Image
166,tool,,,TOOL:daily::buy_insurance,daily::buy_insurance,daily::buy_insurance,daily::online_shopping,daily::search_by_engine,multimedia::Image Search,huggingface::Image-to-Text
167,tool,,,TOOL:multimedia::Text Summarizer,multimedia::Text Summarizer,multimedia::Text Summarizer,multimedia::Keyword Extractor,multimedia::Text-to-Image,multimedia::Image-to-Text,multimedia::Keyword Extractor
168,tool,,,TOOL:huggingface::Image-to-Image,huggingface::Image-to-Image,huggingface::Image-to-Image,multimedia::Image Colorizer,huggingface::Object Detection,huggingface::Token Classification,multimedia::Text Sentiment Analysis
169,tool,,,TOOL:huggingface::Token Classification,huggingface::Token Classification,huggingface::Token Classification,multimedia::Text-to-Image,huggingface::Tabular Classification,multimedia::Image Search,huggingface::Image-to-Image
170,tool,,,TOOL:huggingface::Text-to-Speech,huggingface::Text-to-Speech,huggingface::Text-to-Speech,huggingface::Audio Classification,huggingface::Token Classification,huggingface::Text-to-Speech,huggingface::Audio Classification
171,tool,,,TOOL:multimedia::Video Speed Changer,multimedia::Video Speed Changer,multimedia::Video Speed Changer,multimedia::Video-to-Text,huggingface::Text-to-Video,multimedia::Video Stabilizer,multimedia::Video-to-Text
172,tool,,,TOOL:huggingface::Text-to-Video,huggingface::Text-to-Video,huggingface::Text-to-Video,multimedia::Video Stabilizer,multimedia::Video-to-Image,multimedia::Image Search (by Image),huggingface::Depth Estimation
173,tool,,,TOOL:daily::auto_driving_to_destination,daily::auto_driving_to_destination,daily::auto_driving_to_destination,daily::book_car,daily::book_hotel,daily::book_car,daily::book_flight
174,tool,,,TOOL:daily::pay_for_credit_card,daily::pay_for_credit_card,daily::pay_for_credit_card,daily::sell_item_online,daily::online_shopping,daily::pay_for_credit_card,daily::online_shopping
175,tool,,,TOOL:multimedia::Video Speed Changer,multimedia::Video Speed Changer,multimedia::Video Speed Changer,multimedia::Video-to-Text,multimedia::Text-to-Image,huggingface::Image Segmentation,multimedia::Image Search (by Image)
176,tool,,,TOOL:huggingface::Sentence Similarity,huggingface::Sentence Similarity,huggingface::Sentence Similarity,multimedia::Topic Generator,huggingface::Conversational,multimedia::Topic Generator,daily::attend_meeting_online
177,tool,,,TOOL:huggingface::Translation,huggingface::Translation,huggingface::Translation,multimedia::Text Translator,huggingface::Translation,multimedia::Text Translator,multimedia::Text Simplifier
178,tool,,,TOOL:daily::enroll_in_course,daily::enroll_in_course,daily::enroll_in_course,daily::software_management,daily::deliver_package,daily::send_email,daily::deliver_package
179,tool,,,TOOL:daily::print_document,daily::print_document,daily::print_document,daily::borrow_book_online,daily::print_document,daily::borrow_book_online,daily::print_document
180,tool,,,TOOL:daily::send_sms,daily::send_sms,daily::send_sms,daily::make_voice_call,daily::make_video_call,multimedia::Video Search,multimedia::Video-to-Audio
181,tool,,,TOOL:multimedia::Audio-to-Image,multimedia::Audio-to-Image,multimedia::Audio-to-Image,huggingface::Image-to-Image,multimedia::Image Colorizer,huggingface::Image-to-Image,huggingface::Image Classification
182,tool,,,TOOL:multimedia::Text Grammar Checker,multimedia::Text Grammar Checker,multimedia::Text Grammar Checker,multimedia::Text Search,huggingface::Token Classification,multimedia::Text Sentiment Analysis,multimedia::Text-to-Image
183,tool,,,TOOL:daily::send_email,daily::send_email,daily::send_email,daily::deliver_package,daily::book_flight,daily::auto_driving_to_destination,daily::book_car
184,tool,,,TOOL:daily::software_management,daily::software_management,daily::software_management,daily::deliver_package,daily::software_management,daily::stock_operation,daily::online_banking
185,tool,,,TOOL:daily::online_shopping,daily::online_shopping,daily::online_shopping,daily::search_by_engine,multimedia::Video Search,multimedia::Video-to-Image,multimedia::Image-to-Text
186,tool,,,TOOL:multimedia::Image Style Transfer,multimedia::Image Style Transfer,multimedia::Image Style Transfer,huggingface::Image Classification,multimedia::Image Search,huggingface::Image Classification,huggingface::Token Classification
187,tool,,,TOOL:multimedia::Image Downloader,multimedia::Image Downloader,multimedia::Image Downloader,huggingface::Image-to-Image,huggingface::Image-to-Text,multimedia::Text Search,multimedia::URL Extractor
188,tool,,,TOOL:multimedia::URL Extractor,multimedia::URL Extractor,multimedia::URL Extractor,multimedia::Audio Downloader,huggingface::Audio Classification,huggingface::Text-to-Video,multimedia::Video Stabilizer
189,tool,,,TOOL:multimedia::Video Search,multimedia::Video Search,multimedia::Video Search,multimedia::Video-to-Audio,huggingface::Audio-to-Audio,huggingface::Audio Classification,multimedia::Text-to-Audio
190,tool,,,TOOL:multimedia::Video-to-Text,multimedia::Video-to-Text,multimedia::Video-to-Text,daily::recording_audio,multimedia::Audio-to-Text,multimedia::Text Expander,multimedia::Text-to-Video
191,tool,,,TOOL:daily::auto_driving_to_destination,daily::auto_driving_to_destination,daily::auto_driving_to_destination,daily::order_taxi,daily::deliver_package,daily::order_taxi,daily::deliver_package
192,tool,,,TOOL:huggingface::Audio Classification,huggingface::Audio Classification,huggingface::Audio Classification,huggingface::Text-to-Video,multimedia::Video-to-Audio,huggingface::Audio-to-Audio,huggingface::Automatic Speech Recognition
193,tool,,,TOOL:huggingface::Conversational,huggingface::Conversational,huggingface::Conversational,huggingface::Text-to-Video,multimedia::Video-to-Image,huggingface::Image-to-Image,huggingface::Object Detection
194,tool,,,TOOL:daily::attend_meeting_online,daily::attend_meeting_online,daily::attend_meeting_online,daily::organize_meeting_online,daily::get_news_for_topic,multimedia::Text Search,huggingface::Text Generation
195,tool,,,TOOL:multimedia::Image Stitcher,multimedia::Image Stitcher,multimedia::Image Stitcher,huggingface::Image-to-Image,huggingface::Image-to-Text,multimedia::Text Sentiment Analysis,huggingface::Text Generation
196,tool,,,TOOL:daily::apply_for_passport,daily::apply_for_passport,daily::apply_for_passport,daily::apply_for_job,daily::apply_for_passport,daily::apply_for_job,daily::apply_for_passport
197,tool,,,TOOL:multimedia::Video Speed Changer,multimedia::Video Speed Changer,multimedia::Video Speed Changer,multimedia::Video-to-Text,huggingface::Translation,multimedia::Text Paraphraser,huggingface::Summarization
198,tool,,,TOOL:huggingface::Image-to-Text,huggingface::Image-to-Text,huggingface::Image-to-Text,multimedia::Text Sentiment Analysis,huggingface::Text Generation,multimedia::Keyword Extractor,multimedia::URL Extractor
199,tool,,,TOOL:multimedia::Image-to-Text,multimedia::Image-to-Text,multimedia::Image-to-Text,multimedia::Keyword Extractor,multimedia::Text Simplifier,multimedia::Text-to-Image,huggingface::Image Classification
200,tool,,,TOOL:daily::stock_operation,daily::stock_operation,daily::stock_operation,daily::online_banking,daily::daily_bill_payment,daily::online_banking,daily::pay_for_credit_card
